excluded,RavensProgressiveMatrix_sum,Inherence_Bias,Should_Score,Good_Score,Ought_Score,Belief_in_Just_World
0,5,7.666666667,6.333333333,6.666666667,6.5,5.65
1,5,7.333333333,6.666666667,8,7.333333333,4.6
0,4,5.333333333,5.666666667,2.666666667,4.166666667,4.2
0,2,5.8,8,7.666666667,7.833333333,4.85
0,2,4.266666667,7,3.666666667,5.333333333,4.65
0,1,5.266666667,7,5,6,5.15
0,3,6.6,5.666666667,4,4.833333333,6.15
0,1,5.266666667,5.666666667,3,4.333333333,4.85
0,2,4.8,7.666666667,2,4.833333333,3.85
0,4,6.133333333,8,4.666666667,6.333333333,5.45
0,4,5.4,2.666666667,4,3.333333333,5.25
0,3,6.666666667,6,5.666666667,5.833333333,5.75
1,3,5.733333333,6.333333333,5,5.666666667,5.45
0,4,4.266666667,5.666666667,5,5.333333333,4.15
0,4,5.866666667,5.666666667,3.666666667,4.666666667,5.8
1,2,6,6.333333333,4.333333333,5.333333333,5.4
0,4,5.2,6.666666667,5.333333333,6,5.3
0,6,5.533333333,6.666666667,3.666666667,5.166666667,6.2
0,3,2.933333333,6.333333333,3.333333333,4.833333333,3.7
0,6,5.066666667,2.666666667,3.666666667,3.166666667,4.35
0,6,5.466666667,6.666666667,4.666666667,5.666666667,5.9
0,6,8.066666667,8,6,7,5
0,2,5.933333333,5.666666667,5.666666667,5.666666667,5.35
0,7,5.733333333,8.333333333,6.666666667,7.5,4
0,6,7.133333333,7.666666667,5,6.333333333,5.65
0,5,7.066666667,6.333333333,5,5.666666667,5.8
0,6,5.866666667,6.666666667,4.333333333,5.5,4.55
0,5,6.266666667,4,1.666666667,2.833333333,5.35
1,2,5.533333333,6.333333333,4,5.166666667,4.9
0,4,4.333333333,3.666666667,3.666666667,3.666666667,5.15
0,4,5.533333333,5.666666667,5.333333333,5.5,5.15
0,2,4.8,6.666666667,7,6.833333333,4.25
0,2,6.933333333,7.333333333,4,5.666666667,4
0,4,5,7.333333333,6.666666667,7,5.45
0,9,6.933333333,8,8,8,5.85
0,3,5.733333333,7,6.666666667,6.833333333,4.7
0,6,6.666666667,7,4.666666667,5.833333333,4.7
0,5,3.666666667,9,2.333333333,5.666666667,4.1
0,5,6.066666667,5,4,4.5,4.8
0,3,6.133333333,6.666666667,5.333333333,6,6.05
0,3,6.533333333,5.666666667,4.333333333,5,5.45
0,3,7,8.666666667,6.333333333,7.5,5.2
0,5,5.266666667,6.333333333,3.666666667,5,2.6
0,5,6.733333333,7,4.333333333,5.666666667,6.45
0,5,7,8.666666667,7.666666667,8.166666667,6
0,5,8.666666667,4.333333333,4,4.166666667,5.85
0,9,6.133333333,5,3.666666667,4.333333333,4.25
0,2,4.866666667,5.333333333,5.333333333,5.333333333,5.15
0,6,6.466666667,7.666666667,5.333333333,6.5,5.2
1,3,6,7.666666667,6,6.833333333,5.65
0,8,6.666666667,6.333333333,5.666666667,6,5.6
1,1,8.866666667,9,6.333333333,7.666666667,5.4
0,7,5.866666667,6.666666667,4,5.333333333,4
0,5,5.2,6,3.333333333,4.666666667,6.3
