id,y,x1,x2
1,5.5,0.25,4
7,4.5,0.194444444,4
10,3.5,0.347222222,5
12,6,-0.055555556,4
14,2.5,0.166666667,3
17,7,-0.041666667,4
18,6.5,0.847222222,5
20,4,0.5,4
21,4.5,-0.083333333,2
22,7,0.152777778,5
25,4,0.611111111,5
27,3.5,0.152777778,0
29,4,0.166666667,3
30,5,0.611111111,5
31,5,0.222222222,5
33,5,0.486111111,4
34,3.5,0.166666667,2
35,3.5,0.25,4
37,6,0.291666667,5
38,4.5,0.416666667,4
39,5,0.027777778,1
40,6,0.180555556,2
41,5,0.222222222,4
46,4.5,0.291666667,3
48,6,0.347222222,5
49,3.5,0.402777778,3
50,4.5,0.486111111,4
51,5,0.486111111,5
54,4.5,0.222222222,3
55,3.5,0.027777778,5
58,4.5,0.083333333,4
60,4,0.319444444,4
62,3,0.277777778,3
63,4,0.222222222,4
64,4,0.263888889,4
66,3,0.180555556,2
72,4.5,0.513888889,4
75,5,0.208333333,4
76,3,0.527777778,4
77,4.5,0.111111111,4
78,5.5,-0.125,1
80,6,0.236111111,5
83,5,0.472222222,2
87,4.5,0.444444444,3
89,4.5,0.055555556,3
90,5,0.847222222,5
91,5.5,0.083333333,4
94,3,0.138888889,4
95,1,0.319444444,4
96,4,0.166666667,3
99,5.5,0.041666667,4
100,4.5,0.263888889,4
101,6,0.305555556,4
102,6.5,0.152777778,5
104,4.5,0.138888889,3
107,4.5,0.652777778,5
109,3.5,0.097222222,2
111,7,0.041666667,5
114,6,0.222222222,5
117,4.5,0.027777778,5
121,3,0.027777778,2
122,4.5,0.527777778,2
125,4,0.111111111,4
131,6,0.333333333,4
133,4.5,0.305555556,4
134,6,0.388888889,3
135,5,0.138888889,4
137,5.5,0.333333333,5
139,4.5,0.25,3
142,6.5,0.513888889,5
143,4.5,0.208333333,2
144,4,0.416666667,4
146,6,0.638888889,4
147,4,0.180555556,4
150,6,0.069444444,4
151,5,0.277777778,3
152,5,0.513888889,5
153,5,-0.027777778,4
154,4.5,-0.027777778,1
158,3.5,0.277777778,5
161,4.5,0.5,4
163,5,0.5,5
166,7,0.930555556,5
169,3.5,0.25,5
170,3.5,0.25,1
172,6,0.25,5
173,4,0.569444444,3
174,6,0.527777778,4
175,6,0.416666667,5
176,5,0.305555556,3
177,3,0.236111111,3
182,2.5,0.277777778,1
183,4.5,0.347222222,5
186,4,0.444444444,4
190,4,0.083333333,4
191,5.5,0.083333333,5
192,5,-0.055555556,5
195,3.5,0.291666667,4
196,4.5,-0.041666667,1
198,5,0.736111111,4
201,4.5,0.319444444,3
2,4,0.319444444,4
3,3,0.222222222,4
4,2,0.152777778,2
5,3.5,0.055555556,4
6,4,0.375,3
8,3,0.486111111,4
9,4,0.263888889,4
11,3.5,0.527777778,4
13,3.5,0.555555556,5
15,4.5,0.541666667,5
16,3.5,0.263888889,3
19,5,0.402777778,3
23,6.5,0.569444444,5
24,5,0.013888889,1
26,4,-0.041666667,0
28,3.5,0.430555556,4
32,4,0.5,4
36,5,0.347222222,4
42,4,0.361111111,4
43,4,0.458333333,3
44,1,0.472222222,4
45,4.5,0.069444444,4
47,4,0.236111111,3
52,4,0.833333333,5
53,4.5,0.305555556,4
56,5,0.166666667,4
57,5.5,-0.041666667,3
59,4,0.333333333,4
61,2,0.166666667,3
65,5,0.625,4
67,5,0.333333333,3
68,4.5,0.152777778,3
69,5,0.486111111,5
70,3.5,0.722222222,4
71,5.5,0.055555556,4
73,5,0.555555556,4
74,4,0.375,5
79,4,0.458333333,4
81,1,0.361111111,1
82,4,0.166666667,3
84,4,0.472222222,4
85,5.5,0.5,4
86,4.5,0.388888889,4
88,3,0.361111111,2
92,6,0.277777778,3
93,5.5,0.208333333,4
97,4.5,0.486111111,3
98,6,-0.069444444,4
103,5,0.194444444,5
105,4.5,0.263888889,5
106,3,0.291666667,4
108,4,0.222222222,4
110,5,0.5,4
112,5,0.333333333,5
113,3.5,0.333333333,4
115,4.5,0.25,4
116,4,-0.013888889,3
118,4.5,0.583333333,3
119,5.5,0.263888889,4
120,5.5,0.319444444,5
123,6,0.319444444,5
124,2.5,-0.027777778,3
126,5.5,0.25,5
127,3,0.222222222,3
128,3.5,0.319444444,3
129,5.5,0.513888889,5
130,2.5,0.097222222,2
132,7,0.791666667,5
136,3,0.319444444,1
138,3.5,0.583333333,5
140,6,0.013888889,1
141,4.5,0.208333333,4
145,4,0.347222222,4
148,5,-0.111111111,2
149,5.5,0.555555556,5
155,2.5,0.347222222,4
156,6,0.666666667,4
157,3,0.236111111,5
159,5.5,0.097222222,4
160,4.5,0.5,5
162,6,0,4
164,3.5,0.638888889,5
165,2.5,0.180555556,2
167,4,0.333333333,4
168,4,0.486111111,3
171,2,0.375,4
178,4.5,0.083333333,1
179,6.5,0.347222222,4
180,4,0.194444444,5
181,2,0.125,2
184,5,0.291666667,5
185,4.5,-0.125,5
187,2.5,0.666666667,4
188,4,0.555555556,4
189,4.5,-0.083333333,2
193,4.5,0.222222222,4
194,4,-0.194444444,2
197,3,0.305555556,5
199,3,0.319444444,5
200,2.5,0.125,0
202,4,0.430555556,4
